FFID	Line	Point	Gps-time(us)-UTC Date	UTC-Time	Time-Source	Latitude	Longitude	Comment
91	2.0	41.0	1347330955139477	2022-09-16	02:35:37.139477	GPS	234334.572	1143856.364	
92	2.0	42.0	1347330983491462	2022-09-16	02:36:05.491462	GPS	234334.716	1143855.428	
93	2.0	43.0	1347331008809876	2022-09-16	02:36:30.809876	GPS	234334.392	1143855.644	
94	2.0	44.0	1347331029466120	2022-09-16	02:36:51.466120	GPS	234334.212	1143855.788	
95	2.0	45.0	1347331098706869	2022-09-16	02:38:00.706869	GPS	234336.660	1143855.392	
96	2.0	46.0	1347331123214608	2022-09-16	02:38:25.214608	GPS	234336.660	1143855.284	
97	2.0	47.0	1347331141956549	2022-09-16	02:38:43.956549	GPS	234333.276	1143856.688	
98	2.0	48.0	1347331161474763	2022-09-16	02:39:03.474763	GPS	234332.736	1143856.832	
99	2.0	49.0	1347331181222303	2022-09-16	02:39:23.222303	GPS	234332.592	1143856.796	
100	2.0	50.0	1347331201406771	2022-09-16	02:39:43.406771	GPS	234332.448	1143856.760	
101	3.0	1.0	1347332800666259	2022-09-16	03:06:22.666259	GPS	234332.772	1143857.264	
102	3.0	2.0	1347332814793786	2022-09-16	03:06:36.793786	GPS	234332.772	1143857.264	
103	3.0	3.0	1347332831251393	2022-09-16	03:06:53.251393	GPS	234332.808	1143857.192	
104	3.0	4.0	1347332847967114	2022-09-16	03:07:09.967114	GPS	234332.844	1143857.192	
105	3.0	5.0	1347332866006301	2022-09-16	03:07:28.006301	GPS	234332.916	1143857.192	
106	3.0	6.0	1347332887110650	2022-09-16	03:07:49.110650	GPS	234332.952	1143857.192	
107	3.0	7.0	1347332907738087	2022-09-16	03:08:09.738087	GPS	234333.060	1143857.192	
108	3.0	8.0	1347332928975151	2022-09-16	03:08:30.975151	GPS	234333.168	1143857.156	
109	3.0	9.0	1347332951861196	2022-09-16	03:08:53.861196	GPS	234333.204	1143857.084	
110	3.0	10.0	1347332961788195	2022-09-16	03:09:03.788195	GPS	234333.240	1143857.084	
111	3.0	11.0	1347332973110131	2022-09-16	03:09:15.110131	GPS	234333.312	1143857.048	
112	3.0	12.0	1347332990809851	2022-09-16	03:09:32.809851	GPS	234333.312	1143857.012	
113	3.0	13.0	1347333000744664	2022-09-16	03:09:42.744664	GPS	234333.348	1143857.012	
114	3.0	14.0	1347333031562012	2022-09-16	03:10:13.562012	GPS	234333.384	1143857.012	
115	3.0	15.0	1347333058714263	2022-09-16	03:10:40.714263	GPS	234333.456	1143857.048	
116	3.0	16.0	1347333083242318	2022-09-16	03:11:05.242318	GPS	234333.564	1143857.084	
117	3.0	17.0	1347333099197381	2022-09-16	03:11:21.197381	GPS	234333.636	1143857.084	
118	3.0	18.0	1347333111198959	2022-09-16	03:11:33.198959	GPS	234333.672	1143857.084	
119	3.0	19.0	1347333124914386	2022-09-16	03:11:46.914386	GPS	234333.744	1143857.084	
120	3.0	20.0	1347333142414952	2022-09-16	03:12:04.414952	GPS	234333.816	1143857.084	
121	3.0	21.0	1347333154052890	2022-09-16	03:12:16.052890	GPS	234333.888	1143857.084	
